"nombre_ie","cod_local","cod_modular","nivel","modalidad","distrito","rei","nombre_director","estado"
"LOS ANGELITOS DE SAN ANTONIO I","3997226","3997226","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"LOS ANGELITOS DE SAN ANTONIO II","3997227","3997227","inicial_jardin","EBR","ATE","SIN REI","NO REGISTRADO","active"
"NUEVO DESPERTAR","4005931","4005931","inicial_jardin","EBR","LURIGANCHO","SIN REI","NO REGISTRADO","active"
"ALTERNATIVO CARMELITAS","402573","432567","primaria","EBR","LURIGANCHO","SIN REI","REYNA GAMARRA NICOLAS HIPOLITO","active"
"SAGRADOS CORAZONES RECOLETA","307632","449512","secundaria","EBR","LA MOLINA","SIN REI","DIAZ VASQUEZ DE VARGAS JUDITH DEL CARMEN","active"
"UNION","314722","449553","secundaria","EBR","LURIGANCHO","SIN REI","ALTEZ ORTIZ ETHEL","active"
"VILLA MARIA LA PLANICIE","308245","449561","secundaria","EBR","LA MOLINA","SIN REI","STUCCHI ALTAMIRANO GIULIANNA VERONICA","active"
"WINNETKA","298406","449595","secundaria","EBR","CHACLACAYO","SIN REI","GARRO PEÑA ANTHONY MANUEL","active"
"FELIPE SANTIAGO ESTENOS","298053","449686","secundaria","EBA","CHACLACAYO","SIN REI","RIVERA PANDURO JUAN CARLOS","active"
"EDELMIRA DEL PANDO","292013","449728","secundaria","EBA","ATE","SIN REI","ROCA NUÑEZ JORGE FELIX","active"
"PABLO PATRON","313807","449744","secundaria","EBA","LURIGANCHO","SIN REI","MEZA MUÑOZ FULGENCIO","active"
"046 VICTOR RAUL HAYA DE LA TORRE","292254","449868","secundaria","EBR","ATE","8","MARIACA PEÑA EINER","active"
"SAN MARTIN DE PORRES","849922","450387","tecnico_productiva","EBR","LURIGANCHO","SIN REI","BAÑARES GAMARRA CELIA","active"
"O55 LAS CARMELITAS","338638","466326","inicial_jardin","EBR","SANTA ANITA","4","ALVARADO LEON LEONOR LILIANA","active"
"0096","338676","466334","primaria","EBR","SANTA ANITA","4","IBAÑEZ QUISPE MIRIAM","active"
"0097 PATRICIA ANTONIA LOPEZ","338681","466342","primaria","EBR","SANTA ANITA","4","LOPEZ IPARRAGUIRRE NELLY","active"
"VICTOR RAUL HAYA DE LA TORRE","292254","469452","tecnico_productiva","EBR","ATE","SIN REI","MARIACA PEÑA EINER","active"
"111","338737","469601","inicial_jardin","EBR","SANTA ANITA","4","ALBURQUERQUE MORENO DAISY YSAURA","active"
"112 VIRGEN DEL CARMEN","719015","469619","inicial_jardin","EBR","LA MOLINA","2","QUISPE CUADROS EMPERATRIZ GREGORIA","active"
"1209 MARISCAL TORIBIO DE LUZURIAGA","292490","469700","secundaria","EBR","ATE","3","FELIX LUNA LEONARDO LUIS","active"
"1136 JOHN F. KENNEDY","292070","469759","secundaria","EBA","ATE","SIN REI","FRANCO ORDOÑEZ SILVIA ROSA","active"
"NUESTRA SEÑORA DE LOURDES","314350","476853","inicial_jardin","EBR","LURIGANCHO","SIN REI","SCHREIER IBAÑEZ YIRKA","active"
"NUESTRA SEÑORA DE LA MERCED","292975","483016","primaria","EBR","ATE","SIN REI","MIDZUARAY FUKUY ARTURO FRANCISCO","active"
